x_bandwidth,y_chain_growth,model
0.05,0.028867999999999994,Bandwidth Limits
0.1,0.07150900000000003,Bandwidth Limits
0.15000000000000002,0.11587600000000008,Bandwidth Limits
0.2,0.155474,Bandwidth Limits
0.25,0.191584,Bandwidth Limits
0.3,0.22414,Bandwidth Limits
0.35000000000000003,0.2545069999999999,Bandwidth Limits
0.4,0.282023,Bandwidth Limits
0.45,0.307533,Bandwidth Limits
0.5,0.33139599999999997,Bandwidth Limits
0.55,0.353396,Bandwidth Limits
0.6000000000000001,0.37439599999999984,Bandwidth Limits
0.6500000000000001,0.39376200000000006,Bandwidth Limits
0.7000000000000001,0.41226200000000013,Bandwidth Limits
0.7500000000000001,0.42944399999999994,Bandwidth Limits
0.8,0.4447980000000002,Bandwidth Limits
0.8500000000000001,0.46027800000000013,Bandwidth Limits
0.9000000000000001,0.47514600000000007,Bandwidth Limits
0.9500000000000001,0.48840099999999986,Bandwidth Limits
1.0,0.5019549999999998,Bandwidth Limits
1.05,0.5140020000000001,Bandwidth Limits
1.1,0.5259649999999998,Bandwidth Limits
1.1500000000000001,0.537718,Bandwidth Limits
1.2000000000000002,0.5478379999999998,Bandwidth Limits
1.2500000000000002,0.557427,Bandwidth Limits
1.3,0.5669640000000004,Bandwidth Limits
1.35,0.576953,Bandwidth Limits
1.4000000000000001,0.5855480000000002,Bandwidth Limits
1.4500000000000002,0.592971,Bandwidth Limits
1.5000000000000002,0.603541,Bandwidth Limits
1.55,0.6100430000000003,Bandwidth Limits
1.6,0.6172329999999999,Bandwidth Limits
1.6500000000000001,0.6246850000000002,Bandwidth Limits
1.7000000000000002,0.6322140000000003,Bandwidth Limits
1.7500000000000002,0.638477,Bandwidth Limits
1.8,0.6453540000000002,Bandwidth Limits
1.85,0.6521760000000001,Bandwidth Limits
1.9000000000000001,0.6584319999999999,Bandwidth Limits
1.9500000000000002,0.6628439999999999,Bandwidth Limits
2.0,0.6684290000000004,Bandwidth Limits
2.0,0.6694119999999999,Constant Delay
1.9500000000000002,0.6649119999999997,Constant Delay
1.9000000000000001,0.6578009999999999,Constant Delay
1.8500000000000003,0.652251,Constant Delay
1.7999999999999998,0.6462690000000002,Constant Delay
1.75,0.6395079999999999,Constant Delay
1.7000000000000002,0.6327070000000001,Constant Delay
1.6500000000000004,0.6267779999999998,Constant Delay
1.6,0.6191540000000001,Constant Delay
1.55,0.6123879999999998,Constant Delay
1.5000000000000004,0.6041980000000001,Constant Delay
1.4500000000000002,0.5962489999999999,Constant Delay
1.4000000000000001,0.5869810000000001,Constant Delay
1.35,0.5788550000000003,Constant Delay
1.3,0.5699540000000003,Constant Delay
1.2500000000000002,0.560944,Constant Delay
1.2000000000000002,0.5496569999999998,Constant Delay
1.1500000000000001,0.5399460000000001,Constant Delay
1.1,0.528755,Constant Delay
1.05,0.5173979999999997,Constant Delay
1.0,0.5051910000000001,Constant Delay
0.9500000000000001,0.4936359999999999,Constant Delay
0.9000000000000001,0.479271,Constant Delay
0.8500000000000001,0.46540200000000015,Constant Delay
0.8,0.44981599999999994,Constant Delay
0.7500000000000002,0.435303,Constant Delay
0.7000000000000001,0.41864599999999996,Constant Delay
0.6500000000000001,0.4011160000000001,Constant Delay
0.6000000000000001,0.382401,Constant Delay
0.55,0.3623900000000002,Constant Delay
0.5,0.34125099999999997,Constant Delay
0.44999999999999996,0.3188449999999999,Constant Delay
0.4,0.29495899999999997,Constant Delay
0.35000000000000003,0.26926600000000006,Constant Delay
0.3,0.24106299999999994,Constant Delay
0.25,0.21172499999999989,Constant Delay
0.2,0.17987399999999998,Constant Delay
0.15000000000000002,0.14576,Constant Delay
0.1,0.10921300000000007,Constant Delay
0.05,0.069499,Constant Delay
