bandwidth	chain_growth
0.05	0.028867999999999994
0.1	0.07150900000000003
0.15000000000000002	0.11587600000000008
0.2	0.155474
0.25	0.191584
0.3	0.22414
0.35000000000000003	0.2545069999999999
0.4	0.282023
0.45	0.307533
0.5	0.33139599999999997
0.55	0.353396
0.6000000000000001	0.37439599999999984
0.6500000000000001	0.39376200000000006
0.7000000000000001	0.41226200000000013
0.7500000000000001	0.42944399999999994
0.8	0.4447980000000002
0.8500000000000001	0.46027800000000013
0.9000000000000001	0.47514600000000007
0.9500000000000001	0.48840099999999986
1.0	0.5019549999999998
1.05	0.5140020000000001
1.1	0.5259649999999998
1.1500000000000001	0.537718
1.2000000000000002	0.5478379999999998
1.2500000000000002	0.557427
1.3	0.5669640000000004
1.35	0.576953
1.4000000000000001	0.5855480000000002
1.4500000000000002	0.592971
1.5000000000000002	0.603541
1.55	0.6100430000000003
1.6	0.6172329999999999
1.6500000000000001	0.6246850000000002
1.7000000000000002	0.6322140000000003
1.7500000000000002	0.638477
1.8	0.6453540000000002
1.85	0.6521760000000001
1.9000000000000001	0.6584319999999999
1.9500000000000002	0.6628439999999999
2.0	0.6684290000000004
