bandwidth max_ancestor_height
-0.1 1.0005575000000007
-0.05 0.9992800000000004
0.0 0.9977475
0.05000000000000002 0.007125
0.1 0.000825
0.15 0.0
0.20000000000000004 0.0
0.25 0.0
0.30000000000000004 0.0
0.35 0.0
0.4 0.0028199999999999996
0.45000000000000007 0.0123225
0.5000000000000001 0.0099125
0.55 0.0389
0.6000000000000001 0.0636225
0.65 0.15660000000000002
0.7000000000000001 0.20434999999999998
0.7500000000000001 0.35246249999999996
0.8 0.44154749999999987
0.8500000000000001 0.45837999999999995
0.9 0.47454499999999994
0.9500000000000001 0.48791999999999974
1.0 0.49935000000000007
1.05 0.5127550000000002
1.1 0.5258375000000001
1.15 0.5343150000000001
1.2 0.5445675000000002
1.25 0.5564825
1.3 0.5662324999999999
1.35 0.5751425000000002
1.4 0.5841925
1.45 0.5926750000000002
1.5 0.6004474999999998
1.55 0.6077825
1.6 0.6153950000000002
1.65 0.6220725
1.7 0.6309750000000001
1.75 0.6372224999999999
1.8 0.6441500000000002
1.85 0.6492000000000001
1.9 0.6550049999999998
1.9500000000000002 0.6614424999999997
2.0 0.6673524999999999
