bandwidth max_ancestor_height
-0.1 0.9990950000000001
-0.05 1.0012349999999999
0.0 0.9950874999999998
0.05000000000000002 0.02737000000000001
0.1 0.070845
0.15 0.11537250000000007
0.20000000000000004 0.1548825
0.25 0.1909425000000001
0.30000000000000004 0.22347000000000006
0.35 0.25333500000000014
0.4 0.2811650000000002
0.45000000000000007 0.3070274999999999
0.5000000000000001 0.33070999999999984
0.55 0.3527550000000001
0.6000000000000001 0.3732274999999998
0.65 0.3929675000000001
0.7000000000000001 0.41022749999999997
0.7500000000000001 0.4278774999999999
0.8 0.44422499999999987
0.8500000000000001 0.4599000000000001
0.9 0.47401250000000006
0.9500000000000001 0.48673500000000003
1.0 0.50019
1.05 0.5119075
1.1 0.5237699999999998
1.15 0.5358150000000002
1.2 0.5449725
1.25 0.5550750000000001
1.3 0.5656799999999998
1.35 0.5749425000000001
1.4 0.5854024999999998
1.45 0.5917050000000001
1.5 0.5996450000000001
1.55 0.6095475
1.6 0.6156474999999998
1.65 0.6245399999999999
1.7 0.6301325000000002
1.75 0.6366575
1.8 0.6437300000000001
1.85 0.6488150000000004
1.9 0.655715
1.9500000000000002 0.6616099999999999
2.0 0.6673825000000001
