bandwidth chain_growth
0.1 0.013590000000000001
0.15000000000000002 0.014049999999999998
0.20000000000000004 0.01447
0.25000000000000006 0.01525
0.30000000000000004 0.01585
0.3500000000000001 0.01638
0.40000000000000013 0.016800000000000002
0.45000000000000007 0.01756
0.5000000000000001 0.01791
0.5500000000000002 0.018590000000000002
0.6000000000000002 0.019280000000000002
0.6500000000000001 0.01956
0.7000000000000002 0.01984
0.7500000000000002 0.020569999999999998
0.8000000000000002 0.02103
0.8500000000000002 0.02132
0.9000000000000002 0.021939999999999998
0.9500000000000003 0.021950000000000004
1.0000000000000004 0.022600000000000002
1.0500000000000003 0.02335
1.1000000000000005 0.02357
1.1500000000000004 0.023700000000000002
1.2000000000000004 0.02443
1.2500000000000004 0.02451
1.3000000000000005 0.025009999999999998
1.3500000000000005 0.02504
1.4000000000000006 0.02567
1.4500000000000006 0.026129999999999997
1.5000000000000004 0.026390000000000004
1.5500000000000005 0.026280000000000005
1.6000000000000005 0.02695
1.6500000000000006 0.027489999999999997
1.7000000000000006 0.02756
1.7500000000000007 0.027999999999999997
1.8000000000000007 0.02841
1.8500000000000008 0.028770000000000007
1.9000000000000008 0.028999999999999998
1.9500000000000006 0.029259999999999998
2.0000000000000004 0.029580000000000002
