bandwidth	chain_growth
0.05	0.028867999999999994
0.1	0.07150900000000002
0.15000000000000002	0.11587600000000003
0.2	0.15547400000000003
0.25	0.191584
0.3	0.22413999999999998
0.35000000000000003	0.2545069999999999
0.4	0.282023
0.45	0.30753299999999995
0.5	0.33139599999999997
0.55	0.35339600000000004
0.6000000000000001	0.3743959999999998
0.6500000000000001	0.39376200000000006
0.7000000000000001	0.41226200000000013
0.7500000000000001	0.42944399999999994
0.8	0.444798
0.8500000000000001	0.4602780000000001
0.9000000000000001	0.47514599999999985
0.9500000000000001	0.48840099999999986
1.0	0.501955
1.05	0.514002
1.1	0.5259649999999998
1.1500000000000001	0.5377180000000001
1.2000000000000002	0.5478379999999998
1.2500000000000002	0.5574269999999999
1.3	0.5669640000000002
1.35	0.5769529999999999
1.4000000000000001	0.5855480000000001
1.4500000000000002	0.5929709999999999
1.5000000000000002	0.603541
1.55	0.6100430000000004
1.6	0.6172329999999999
1.6500000000000001	0.6246850000000002
1.7000000000000002	0.6322140000000003
1.7500000000000002	0.6384769999999999
1.8	0.6453540000000001
1.85	0.6521760000000001
1.9000000000000001	0.6584319999999999
1.9500000000000002	0.6628440000000001
2.0	0.6684290000000006
