inverse_delay	chain_growth
2.0	0.6694119999999999
1.9500000000000002	0.6649119999999997
1.9000000000000001	0.6578009999999999
1.8500000000000003	0.652251
1.7999999999999998	0.6462690000000002
1.75	0.6395079999999999
1.7000000000000002	0.6327070000000001
1.6500000000000004	0.6267779999999998
1.6	0.6191540000000001
1.55	0.6123879999999998
1.5000000000000004	0.6041980000000001
1.4500000000000002	0.5962489999999999
1.4000000000000001	0.5869810000000001
1.35	0.5788550000000003
1.3	0.5699540000000003
1.2500000000000002	0.560944
1.2000000000000002	0.5496569999999998
1.1500000000000001	0.5399460000000001
1.1	0.528755
1.05	0.5173979999999997
1.0	0.5051910000000001
0.9500000000000001	0.4936359999999999
0.9000000000000001	0.479271
0.8500000000000001	0.46540200000000015
0.8	0.44981599999999994
0.7500000000000002	0.435303
0.7000000000000001	0.41864599999999996
0.6500000000000001	0.4011160000000001
0.6000000000000001	0.382401
0.55	0.3623900000000002
0.5	0.34125099999999997
0.44999999999999996	0.3188449999999999
0.4	0.29495899999999997
0.35000000000000003	0.26926600000000006
0.3	0.24106299999999994
0.25	0.21172499999999989
0.2	0.17987399999999998
0.15000000000000002	0.14576
0.1	0.10921300000000007
0.05	0.069499
